Team,Elo
Francia,1916.24
Argentina,1907.40
España,1879.58
Inglaterra,1850.97
Brasil,1804.92
Marruecos,1788.86
Países Bajos,1775.54
Portugal,1764.86
Bélgica,1756.51
México,1754.30
Colombia,1729.30
Alemania,1726.22
Croacia,1723.05
Italia,1704.73
EE. UU.,1690.33
Suiza,1676.00
Japón,1673.68
Senegal,1653.43
Uruguay,1634.70
Dinamarca,1619.47
Noruega,1617.67
RI de Irán,1609.85
Austria,1598.82
Ecuador,1592.59
Nigeria,1585.02
Egipto,1584.71
Turquía,1582.54
Australia,1581.35
Argelia,1576.80
Canadá,1571.34
Costa de Marfil,1565.47
República de Corea,1558.72
Ucrania,1549.29
Paraguay,1542.48
Rusia,1529.60
Polonia,1526.18
Suecia,1525.58
Gales,1516.95
Hungría,1506.39
Serbia,1502.13
RD Congo,1495.48
Escocia,1491.22
Camerún,1481.24
Panamá,1478.41
Eslovaquia,1473.66
Grecia,1473.19
Venezuela,1469.18
Chequia,1467.26
Chile,1458.20
Perú,1457.69
Costa Rica,1456.03
Rumanía,1455.89
Mali,1455.59
Sudáfrica,1451.24
República de Irlanda,1441.10
Eslovenia,1441.09
Túnez,1426.58
Arabia Saudí,1425.52
Catar,1411.06
Uzbekistán,1409.73
Bosnia y Herzegovina,1408.93
Burkina Faso,1406.99
Irak,1404.17
Islas de Cabo Verde,1402.97
Ghana,1387.00
Honduras,1378.97
Albania,1376.03
Emiratos Árabes Unidos,1370.47
Macedonia del Norte,1369.16
Irlanda del Norte,1365.30
Jamaica,1357.84
Georgia,1355.26
Jordania,1350.41
Islandia,1342.77
Finlandia,1341.92
Israel,1333.90
Bolivia,1326.00
Kosovo,1319.12
Omán,1306.90
Montenegro,1301.98
Guinea,1295.60
Curazao,1285.64
Siria,1283.05
Gabón,1272.51
Bulgaria,1271.68
Nueva Zelanda,1269.80
Angola,1265.58
Haití,1264.58
Uganda,1264.09
Zambia,1255.82
RP China,1254.81
Baréin,1254.41
Benín,1252.17
Tailandia,1250.80
Palestina,1243.71
Bielorrusia,1242.88
Guatemala,1238.74
Luxemburgo,1232.82
Vietnam,1225.68
El Salvador,1225.34
Tayikistán,1224.19
Trinidad y Tobago,1219.59
Mozambique,1218.62
Madagascar,1202.69
Guinea Ecuatorial,1195.20
Kirguizistán,1192.16
Armenia,1189.63
Comoras,1187.91
Kenia,1185.08
Libia,1182.08
Kazajistán,1180.78
Tanzania,1180.27
Mauritania,1176.68
Níger,1175.33
Líbano,1172.22
Gambia,1159.64
Sudán,1157.22
Indonesia,1157.14
Togo,1152.76
RPD de Corea,1151.05
Namibia,1148.84
Sierra Leona,1147.56
Islas Feroe,1136.59
Chipre,1133.25
Surinam,1132.43
Azerbaiyán,1132.00
Estonia,1130.64
Ruanda,1126.62
Malaui,1122.05
Zimbabue,1119.78
Nicaragua,1114.63
Guinea-Bisáu,1108.38
Kuwait,1106.47
Congo,1105.96
Filipinas,1100.95
Malasia,1086.22
Letonia,1085.66
India,1084.93
República Centroafricana,1080.82
Liberia,1080.44
Turkmenistán,1078.65
Burundi,1078.01
Etiopía,1077.52
República Dominicana,1076.50
Yemen,1065.24
Lesoto,1064.29
Botsuana,1063.63
Singapur,1057.95
Lituania,1056.85
Guyana,1049.32
Nueva Caledonia,1036.95
San Cristóbal y Nieves,1036.33
Islas Salomón,1031.89
Puerto Rico,1024.30
Fiyi,1024.17
Hong Kong,1024.16
Tahití,1019.04
Myanmar,1010.91
Moldavia,1008.24
Vanuatu,1002.53
Malta,992.79
Antigua y Barbuda,986.58
Granada,981.82
Cuba,981.42
Suazilandia,979.01
Santa Lucía,976.71
Bermuda,975.05
Papúa Nueva Guinea,974.90
Sudán del Sur,970.94
San Vicente y las Granadinas,968.27
Afganistán,968.07
Andorra,946.43
Maldivas,943.92
China Taipéi,923.78
Camboya,922.32
Montserrat,916.75
Nepal,914.54
Mauricio,911.49
Barbados,909.89
Belice,907.00
Bangladés,902.93
Dominica,897.69
Chad,896.85
Eritrea,887.06
Laos,885.03
Islas Cook,877.53
Sri Lanka,876.86
Samoa,876.41
Aruba,875.61
Mongolia,874.47
Samoa Estadounidense,871.61
Bután,870.81
Macao,858.03
Brunéi Darusalam,857.73
Santo Tomé y Príncipe,855.44
Yibuti,853.58
Islas Caimán,850.06
Pakistán,840.28
Somalia,839.17
Tonga,835.64
Timor Oriental,831.00
Gibraltar,820.26
Guam,819.54
Seychelles,804.16
Islas Turcas y Caicos,803.98
Liechtenstein,797.70
Bahamas,786.82
Islas Vírgenes Estadounidenses,779.76
Islas Vírgenes Británicas,777.41
Anguilla,760.25
San Marino,721.20